first_name,last_name,email
Maja,Mccray,rubricapp-c0@mailinator.com
Fateh,Guerrero,rubricapp-c1@mailinator.com
Pearce,Mcphee,rubricapp-c2@mailinator.com
Olivia,Michael,rubricapp-c3@mailinator.com
Saarah,Austin,rubricapp-c4@mailinator.com
Rex,Velasquez,rubricapp-c5@mailinator.com
Rivka,Coles,rubricapp-c6@mailinator.com
Lyla,Moody,rubricapp-c7@mailinator.com
Conah,Morales,rubricapp-c8@mailinator.com
Libbie,Cotton,rubricapp-c9@mailinator.com
Rocky,Ahmad,rubricapp-c10@mailinator.com
Shakira,Gardner,rubricapp-c11@mailinator.com
Cecilia,Lopez,rubricapp-c12@mailinator.com
Sumayyah,Aguilar,rubricapp-c13@mailinator.com
Shae,Almond,rubricapp-c14@mailinator.com
Naima,Patton,rubricapp-c15@mailinator.com
Kitty,O'Moore,rubricapp-c16@mailinator.com
Aryan,Bowes,rubricapp-c17@mailinator.com
Arwen,Kirkpatrick,rubricapp-c18@mailinator.com
Jakob,Kendall,rubricapp-c19@mailinator.com
Safiyyah,Dowling,rubricapp-c20@mailinator.com
Ciaran,Hull,rubricapp-c21@mailinator.com
Rafael,Goddard,rubricapp-c22@mailinator.com
 Aden,Whittington,rubricapp-c23@mailinator.com
 Korban,Mosley,rubricapp-c24@mailinator.com
 Sienna,Meyer,rubricapp-c25@mailinator.com
 Bradlee,Boyce,rubricapp-c26@mailinator.com
 Lilly,Patterson,rubricapp-c27@mailinator.com
 Hebe,Wickens,rubricapp-c28@mailinator.com
 Kenzo,England,rubricapp-c29@mailinator.com
 Sulayman,Parry,rubricapp-c30@mailinator.com
 Ismail,Baldwin,rubricapp-c31@mailinator.com
 Lillia,Werner,rubricapp-c32@mailinator.com
 Hiba,Emerson,rubricapp-c33@mailinator.com
 Gabriela,Casey,rubricapp-c34@mailinator.com
 Moshe,Johnston,rubricapp-c35@mailinator.com
 Shana,Thorpe,rubricapp-c36@mailinator.com
 Om,Lowry,rubricapp-c37@mailinator.com
 Nikhil,Lawson,rubricapp-c38@mailinator.com
 Mara,Haney,rubricapp-c39@mailinator.com
