Team Name,Student Emails,TA Email
H ,"Student1@gmail.com,  Student2@gmail.com,  Student3@gmail.com,  Student4@gmail.com", TA1@gmail.com
He,"Student5@gmail.com,  Student6@gmail.com,  Student7@gmail.com,  Student8@gmail.com", TA1@gmail.com
Li,"Student9@gmail.com,  Student10@gmail.com, Student11@gmail.com, Student12@gmail.com",TA1@gmail.com
Be,"Student13@gmail.com, Student14@gmail.com, Student15@gmail.com, Student16@gmail.com",TA1@gmail.com
B ,"Student17@gmail.com, Student18@gmail.com, Student19@gmail.com, Student20@gmail.com",TA1@gmail.com
C ,"Student21@gmail.com, Student22@gmail.com, Student23@gmail.com, Student24@gmail.com",TA2@gmail.com
N ,"Student25@gmail.com, Student26@gmail.com, Student27@gmail.com, Student28@gmail.com",TA2@gmail.com
O ,"Student29@gmail.com, Student30@gmail.com, Student31@gmail.com, Student32@gmail.com",TA2@gmail.com
F ,"Student33@gmail.com, Student34@gmail.com, Student35@gmail.com, Student36@gmail.com",TA2@gmail.com
Ne,"Student37@gmail.com, Student38@gmail.com, Student39@gmail.com, Student40@gmail.com",TA3@gmail.com
