fname,lname,email,owner_id
Maja,Mccray,rubricapp-c0@mailinator.com,1
Fateh,Guerrero,rubricapp-c1@mailinator.com,1
Pearce,Mcphee,rubricapp-c2@mailinator.com,1
Olivia,Michael,rubricapp-c3@mailinator.com,1
Saarah,Austin,rubricapp-c4@mailinator.com,1
Rex,Velasquez,rubricapp-c5@mailinator.com,1
Rivka,Coles,rubricapp-c6@mailinator.com,1
Lyla,Moody,rubricapp-c7@mailinator.com,1
Conah,Morales,rubricapp-c8@mailinator.com,1
Libbie,Cotton,rubricapp-c9@mailinator.com,1
Rocky,Ahmad,rubricapp-c10@mailinator.com,1
Shakira,Gardner,rubricapp-c11@mailinator.com,1
Cecilia,Lopez,rubricapp-c12@mailinator.com,1
Sumayyah,Aguilar,rubricapp-c13@mailinator.com,1
Shae,Almond,rubricapp-c14@mailinator.com,1
Naima,Patton,rubricapp-c15@mailinator.com,1
Kitty,O'Moore,rubricapp-c16@mailinator.com,1
Aryan,Bowes,rubricapp-c17@mailinator.com,1
Arwen,Kirkpatrick,rubricapp-c18@mailinator.com,1
Jakob,Kendall,rubricapp-c19@mailinator.com,1
Safiyyah,Dowling,rubricapp-c20@mailinator.com,1
Ciaran,Hull,rubricapp-c21@mailinator.com,1
Rafael,Goddard,rubricapp-c22@mailinator.com,1
 Aden,Whittington,rubricapp-c23@mailinator.com,1
 Korban,Mosley,rubricapp-c24@mailinator.com,1
 Sienna,Meyer,rubricapp-c25@mailinator.com,1
 Bradlee,Boyce,rubricapp-c26@mailinator.com,1
 Lilly,Patterson,rubricapp-c27@mailinator.com,1
 Hebe,Wickens,rubricapp-c28@mailinator.com,1
 Kenzo,England,rubricapp-c29@mailinator.com,1
 Sulayman,Parry,rubricapp-c30@mailinator.com,1
 Ismail,Baldwin,rubricapp-c31@mailinator.com,1
 Lillia,Werner,rubricapp-c32@mailinator.com,1
 Hiba,Emerson,rubricapp-c33@mailinator.com,1
 Gabriela,Casey,rubricapp-c34@mailinator.com,1
 Moshe,Johnston,rubricapp-c35@mailinator.com,1
 Shana,Thorpe,rubricapp-c36@mailinator.com,1
 Om,Lowry,rubricapp-c37@mailinator.com,1
 Nikhil,Lawson,rubricapp-c38@mailinator.com,1
 Mara,Haney,rubricapp-c39@mailinator.com,1
